venue,event_id,location,region,gender,rank,name,nationality,age_group,finish_time,finish_seconds
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,85,"Stevens, Joseph",USA,35-39,01:12:19,4339
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,86,"Neth, Scott",USA,40-44,01:12:22,4342
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,87,"Hermosillo, Andres",MEX,30-34,01:12:29,4349
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,88,"Sandhu, Aaron",USA,16-24,01:12:37,4357
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,89,"Rivera, Jonathan",PUR,25-29,01:12:37,4357
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,9,"Stoermer, Eric",USA,30-34,01:04:47,3887
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,90,"Smith, Sebastian",USA,30-34,01:12:48,4368
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,91,"Hannah, Will",USA,25-29,01:12:53,4373
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,92,"Delaney, Kevin",USA,30-34,01:12:57,4377
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,93,"Roche, Edmond",USA,30-34,01:12:58,4378
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,94,"Sanchez, Eddie",USA,45-49,01:13:01,4381
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,95,"Li, Prestin",USA,25-29,01:13:05,4385
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,96,"Taylor, John",USA,40-44,01:13:09,4389
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,97,"Noble, Scott",USA,40-44,01:13:12,4392
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,98,"Luna, Kristopher",USA,35-39,01:13:14,4394
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,M,99,"Rokosz, Randy",USA,50-54,01:13:16,4396
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,1,"Garza, Dinorah",MEX,25-29,01:04:11,3851
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,10,"Gottlieb, Rachel",USA,30-34,01:09:56,4196
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,100,"Skaggs, Kaylene",USA,35-39,01:19:15,4755
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,11,"Ellsworth, Alena",USA,25-29,01:10:27,4227
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,12,"Flores, Kory",USA,35-39,01:11:03,4263
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,13,"Jaeckel, Jordan",USA,40-44,01:11:03,4263
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,14,"Faure, Ashley",USA,30-34,01:11:14,4274
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,15,"Reyes, Andrea",MEX,25-29,01:11:43,4303
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,16,"Vincent, Emily",USA,40-44,01:11:48,4308
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,17,"Gross, Jessi",USA,40-44,01:11:52,4312
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,18,"Raftery, Wendy",USA,25-29,01:11:55,4315
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,19,"Conley, Emily",USA,40-44,01:12:01,4321
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,2,"Recht, Holly",USA,40-44,01:07:33,4053
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,20,"White, Alli Jane",USA,25-29,01:12:05,4325
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,21,"Gouvion, Izzy",USA,30-34,01:12:20,4340
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,22,"Cordova, Jeanine",USA,40-44,01:12:21,4341
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,23,"Bueno, Bella",USA,16-24,01:12:23,4343
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,24,"Brown, Megan",USA,35-39,01:12:39,4359
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,25,"Forman, Hope",USA,30-34,01:12:40,4360
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,26,"Jacobs, Kristin",USA,30-34,01:12:45,4365
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,27,"Chen-Ok, Adrienne",USA,30-34,01:12:48,4368
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,28,"Oniskey, Micayla",USA,30-34,01:12:53,4373
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,29,"Brogan, Haley",USA,30-34,01:13:03,4383
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,3,"Rametta, Liis",EST,40-44,01:07:58,4078
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,30,"Fox, Andrea",USA,45-49,01:13:15,4395
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,31,"Fullove, Shaluinn",USA,45-49,01:13:18,4398
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,32,"Stanton, Josephine",USA,35-39,01:13:23,4403
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,33,"Fosha, Gretta",USA,40-44,01:13:25,4405
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,34,"Kim, Tyler",USA,30-34,01:13:46,4426
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,35,"Burke, Jenni",USA,35-39,01:13:53,4433
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,36,"Heimuli, Alyssa",USA,30-34,01:14:01,4441
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,37,"Luckow, Amelia",USA,25-29,01:14:09,4449
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,38,"Didinger, Tracey",USA,35-39,01:14:17,4457
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,39,"Corona, Maria Fernanda",MEX,25-29,01:14:21,4461
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,4,"Roth, Sophie",USA,30-34,01:08:31,4111
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,40,"Fletcher, Katie",USA,30-34,01:14:22,4462
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,41,"Robinson, Whitney",USA,35-39,01:14:47,4487
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,42,"Pelletier, Molly",USA,25-29,01:14:51,4491
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,43,"Laskowski, Kelly",USA,45-49,01:14:56,4496
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,44,"Self, Erica",USA,25-29,01:14:59,4499
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,45,"Choi, Angela",USA,40-44,01:15:04,4504
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,46,"Miller, Nicole",USA,30-34,01:15:20,4520
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,47,"Lavelle, Shelby",USA,25-29,01:15:21,4521
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,48,"Moscoe, Isabella",USA,16-24,01:15:29,4529
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,49,"Bowden, Leah",USA,40-44,01:15:35,4535
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,5,"Seracuse, Alyssa",USA,25-29,01:08:44,4124
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,50,"Vivion, Danielle",USA,40-44,01:15:36,4536
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,51,"Campbell, Erin",USA,30-34,01:15:45,4545
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,52,"Riggle, Clara",USA,25-29,01:15:50,4550
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,53,"Temma, Megumi",JPN,30-34,01:15:53,4553
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,54,"Plessas, Zoi",CAN,30-34,01:15:57,4557
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,55,"Wagner, Olivia",USA,25-29,01:16:04,4564
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,56,"Jackson, Baylee",USA,25-29,01:16:06,4566
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,57,"Wiggins, Megan",USA,16-24,01:16:09,4569
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,58,"Carvalho, Deb",BRA,30-34,01:16:10,4570
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,59,"Durastanti, Ashley",USA,16-24,01:16:11,4571
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,6,"Jones, Liz",USA,40-44,01:09:03,4143
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,60,"Westphal, Jessica",USA,35-39,01:16:12,4572
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,61,"Sottile, Dominique",USA,25-29,01:16:24,4584
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,62,"Binks, Kim",USA,45-49,01:16:29,4589
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,63,"Hofeling, Carissa",USA,16-24,01:16:32,4592
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,64,"Helton, Ashley",USA,30-34,01:16:34,4594
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,65,"Scurti, Hilary",USA,30-34,01:16:34,4594
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,66,"Nelson, Delaney",USA,30-34,01:16:37,4597
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,67,"Velasco, Andrea",USA,30-34,01:16:37,4597
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,68,"Stevenson, Kelly",USA,35-39,01:16:40,4600
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,69,"Titus, Taryn",USA,30-34,01:16:43,4603
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,7,"Reed, Lexi",USA,25-29,01:09:26,4166
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,70,"Melamed, Mor",CAN,16-24,01:16:44,4604
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,71,"Ratliff, Bridget",GBR,25-29,01:16:56,4616
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,72,"Hutson, Caitlin",USA,25-29,01:16:58,4618
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,73,"Mullane, Molly",USA,40-44,01:16:58,4618
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,74,"Fine, Alleigh",USA,25-29,01:17:13,4633
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,75,"Berrington, Charlotte",GBR,35-39,01:17:16,4636
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,76,"Kelley, Audrey",USA,30-34,01:17:23,4643
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,77,"Robinson, Stephanie",USA,25-29,01:17:24,4644
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,78,"Rachetto, Liza",USA,50-54,01:17:34,4654
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,79,"Herman, Shannon",USA,30-34,01:17:34,4654
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,8,"Richter, Kim",USA,40-44,01:09:30,4170
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,80,"Timar-Hutterer, Judika",CAN,50-54,01:17:34,4654
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,81,"Lyons, Tara",USA,30-34,01:17:45,4665
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,82,"Howland, Anais",USA,30-34,01:17:46,4666
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,83,"Contreras, Jess",USA,40-44,01:17:55,4675
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,84,"Hernan, Guiomar",ESP,35-39,01:17:57,4677
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,85,"Avery, Kristin",USA,40-44,01:17:57,4677
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,86,"Lutin, Liliana",USA,25-29,01:18:05,4685
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,87,"Kung, Jeanice",USA,40-44,01:18:12,4692
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,88,"Lew, Cecily",USA,35-39,01:18:20,4700
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,89,"Staudt, Gillian",USA,30-34,01:18:20,4700
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,9,"Hall, Taylor",USA,30-34,01:09:50,4190
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,90,"Gilchrist, Kara",USA,25-29,01:18:27,4707
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,91,"Schroeder, Richelle",USA,30-34,01:18:38,4718
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,92,"Henkes, Ashley",USA,30-34,01:18:42,4722
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,93,"Scoortis, Phaedra",USA,45-49,01:18:48,4728
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,94,"Mcgraw, Leslie",USA,35-39,01:18:48,4728
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,95,"Smolenyak, Ellise",USA,30-34,01:18:56,4736
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,96,"Sobhi, Zineb",USA,30-34,01:19:00,4740
Anaheim 2025,H_LR3MS4JI11AC,"Anaheim, CA, USA",North America,W,97,"Helmer, Liz",USA,30-34,01:19:05,4745
