venue,event_id,location,region,gender,rank,name,nationality,age_group,finish_time,finish_seconds
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,77,"Horner, Kevin",IRL,35-39,01:03:06,3786
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,78,"Moloney, Sean",IRL,16-24,01:03:08,3788
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,79,"Weaver, Leonard",GBR,25-29,01:03:12,3792
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,8,"Sutton, Mj",IRL,25-29,00:57:31,3451
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,80,"Wrafter, Simon",IRL,35-39,01:03:13,3793
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,81,"Doorley, Harry",IRL,25-29,01:03:13,3793
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,82,"Van Drunen, Floris",NED,30-34,01:03:16,3796
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,83,"Turner, Matt",GBR,30-34,01:03:17,3797
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,84,"Newbold, Joe",GBR,35-39,01:03:17,3797
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,85,"Hallas, Daniel",GBR,25-29,01:03:20,3800
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,86,"Shrives, Paul",GBR,40-44,01:03:22,3802
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,87,"Reynolds, Robert",IRL,25-29,01:03:23,3803
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,88,"Dignam, Jason",IRL,16-24,01:03:24,3804
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,89,"Mc Kenna, Patrick",IRL,40-44,01:03:24,3804
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,9,"Lawrence, Jack",GBR,25-29,00:57:43,3463
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,90,"Collins, Tom",IRL,16-24,01:03:25,3805
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,91,"Archer, Harry",GBR,25-29,01:03:25,3805
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,92,"Coverdale, Owen",GBR,30-34,01:03:27,3807
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,93,"O'Brien, James",IRL,30-34,01:03:28,3808
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,94,"Cross, Jack",GBR,35-39,01:03:44,3824
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,95,"Perez Rodriguez, Victor",ESP,40-44,01:03:46,3826
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,96,"Carroll, Matthew",GBR,30-34,01:03:47,3827
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,97,"Maleuvre, Romain",FRA,25-29,01:03:48,3828
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,98,"Higgins, Donnacha",IRL,35-39,01:03:52,3832
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,M,99,"Mcinally, Steven",GBR,35-39,01:03:55,3835
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,1,"Chumley, Maleah",USA,16-24,01:02:07,3727
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,10,"Cole, Michelle",IRL,30-34,01:06:46,4006
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,100,"Brown, Tiffany",GBR,30-34,01:14:23,4463
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,11,"Sawyer, Chloe",IRL,25-29,01:06:47,4007
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,12,"Mckinstry, Kathryn",IRL,25-29,01:06:48,4008
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,13,"Cunningham, Lauren",IRL,30-34,01:07:01,4021
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,14,"Mclaughlin, Emma",GBR,16-24,01:07:46,4066
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,15,"Jones, Holly",IRL,16-24,01:08:10,4090
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,16,"Sheehan, Aine",IRL,35-39,01:08:32,4112
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,17,"Casey, Dearbhla",IRL,30-34,01:08:34,4114
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,18,"Lee-Amies, Sophie",GBR,16-24,01:08:40,4120
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,19,"Mckee, Robyn",GBR,30-34,01:08:44,4124
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,2,"Quinlan, Louise",IRL,30-34,01:04:51,3891
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,20,"Byrne, Eleanor",IRL,25-29,01:08:45,4125
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,21,"Mckenna, Georgina Anne",IRL,45-49,01:08:48,4128
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,22,"Foley, Rachel",IRL,35-39,01:09:04,4144
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,23,"Mcwilliams, Evelyn",IRL,40-44,01:09:05,4145
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,24,"Haddon, Faye",GBR,30-34,01:09:14,4154
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,25,"Duggan, Niamh",IRL,30-34,01:09:16,4156
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,26,"Coyle, Jodie",IRL,30-34,01:09:17,4157
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,27,"Kennedy-Clarke, Grace",IRL,40-44,01:09:23,4163
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,28,"Burke, Katie",GBR,25-29,01:09:31,4171
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,29,"Mccarry, Anne",IRL,30-34,01:09:33,4173
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,3,"Dollimore, Stephanie",GBR,25-29,01:04:55,3895
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,30,"Fagan, Ciara",IRL,35-39,01:09:36,4176
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,31,"Moore, Devon",GBR,25-29,01:09:37,4177
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,32,"Mccloskey, Maeve",IRL,30-34,01:09:40,4180
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,33,"Harrison, Joanna",GBR,35-39,01:09:47,4187
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,34,"Nally, Lelia",IRL,30-34,01:09:57,4197
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,35,"Walsh, Molly",IRL,16-24,01:09:58,4198
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,36,"Myers, Georgia",GBR,16-24,01:10:11,4211
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,37,"Dunleavy, Roisin",IRL,35-39,01:10:19,4219
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,38,"Rothery, Emily",GBR,25-29,01:10:22,4222
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,39,"Mckay, Kerrie",GBR,35-39,01:10:29,4229
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,4,"Golden, Roisin",IRL,35-39,01:05:34,3934
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,40,"Mackay, Erin",GBR,25-29,01:10:32,4232
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,41,"Crowder, Mya",GBR,25-29,01:10:33,4233
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,42,"Fierville, Nolwenn",FRA,25-29,01:10:36,4236
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,43,"Oleary, Aoife",IRL,25-29,01:10:43,4243
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,44,"Fanning, Maggie",IRL,25-29,01:10:43,4243
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,45,"Fitzpatrick, Lavina",IRL,40-44,01:10:51,4251
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,46,"Mcsheffrey, Aife",IRL,25-29,01:10:59,4259
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,47,"Mcmurray, Holly",GBR,35-39,01:11:04,4264
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,48,"Smyth, Lorraine",IRL,45-49,01:11:05,4265
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,49,"Byrne, Kate",IRL,16-24,01:11:10,4270
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,5,"Irwin, Caroline",GBR,40-44,01:05:52,3952
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,50,"Cope, Lydia",IRL,25-29,01:11:12,4272
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,51,"Roche, Janine",IRL,35-39,01:11:13,4273
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,52,"Kempton, Ruth",GBR,30-34,01:11:15,4275
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,53,"Murphy, Susanna",IRL,40-44,01:11:16,4276
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,54,"Mccann, Bronagh",IRL,25-29,01:11:16,4276
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,55,"Lawlor, Niamh",IRL,25-29,01:11:20,4280
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,56,"Mcgilloway, Suzanne",IRL,35-39,01:11:34,4294
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,57,"Mcconville, Emma",IRL,25-29,01:11:34,4294
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,58,"Skeels, Becky",GBR,35-39,01:11:35,4295
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,59,"Locke, Alice",GBR,16-24,01:11:40,4300
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,6,"Byrne, Maria",IRL,25-29,01:06:05,3965
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,60,"Dobson, Paige",GBR,16-24,01:11:40,4300
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,61,"Kenney, Katie",GBR,40-44,01:11:50,4310
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,62,"Poole, Daisy",GBR,16-24,01:11:58,4318
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,63,"O'Brien, Ellen",IRL,25-29,01:11:59,4319
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,64,"Doran, Niamh",IRL,30-34,01:11:59,4319
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,65,"Neely, Keeva",IRL,25-29,01:12:00,4320
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,66,"Brolly, Danielle",IRL,30-34,01:12:01,4321
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,67,"Ferguson, Kirsty",GBR,35-39,01:12:02,4322
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,68,"Shannon, Erinn",IRL,16-24,01:12:04,4324
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,69,"Farrell, Anya Ksenia",IRL,25-29,01:12:06,4326
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,7,"Stanley, Rebekah",IRL,25-29,01:06:09,3969
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,70,"Butler, Delyth",GBR,45-49,01:12:10,4330
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,71,"Brady, Cathriona",IRL,45-49,01:12:13,4333
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,72,"Potter, Rebecca",IRL,40-44,01:12:14,4334
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,73,"Kelly, Nicole",IRL,25-29,01:12:17,4337
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,74,"Oates, Katie",IRL,25-29,01:12:19,4339
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,75,"Curtin, Shauna",IRL,40-44,01:12:27,4347
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,76,"Gillman, Lisa",IRL,25-29,01:12:29,4349
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,77,"Mills, Rachel",GBR,45-49,01:12:31,4351
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,78,"Mccartney, Nicola",GBR,35-39,01:12:32,4352
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,79,"Doyle, Molly",IRL,16-24,01:12:34,4354
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,8,"Mcnair, Amy",GBR,16-24,01:06:17,3977
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,80,"Kee, Kirsty",IRL,30-34,01:12:38,4358
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,81,"Zilinskaite, Vitalija",LTU,30-34,01:12:42,4362
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,82,"Cadette, Tyra",GBR,25-29,01:12:44,4364
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,83,"Mc Carthy, Jennifer",IRL,35-39,01:12:51,4371
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,84,"Allen, Zoe",IRL,35-39,01:12:51,4371
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,85,"Hughes, Jolene",GBR,45-49,01:12:57,4377
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,86,"Maguire, Olive",IRL,25-29,01:12:57,4377
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,87,"O Donovan, Ellie",IRL,16-24,01:13:01,4381
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,88,"Fraser, Emma",GBR,25-29,01:13:04,4384
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,89,"Pavlaviciute, Paulina",IRL,25-29,01:13:11,4391
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,9,"Castillo, Francesca",GBR,25-29,01:06:17,3977
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,90,"Simpson, Sandra",IRL,40-44,01:13:13,4393
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,91,"Stephenson, Danielle",GBR,25-29,01:13:13,4393
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,92,"Bolger, Grainne",IRL,45-49,01:13:33,4413
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,93,"Jackman, Kate",IRL,16-24,01:13:43,4423
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,94,"tacoen, isadora",ESP,30-34,01:13:45,4425
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,95,"Barry, Marita",IRL,30-34,01:14:00,4440
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,96,"Khorev, Lisa",IRL,30-34,01:14:16,4456
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,97,"Guerin, Naomi",IRL,35-39,01:14:17,4457
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,98,"Simmons, Eiran",IRL,30-34,01:14:21,4461
Dublin 2025,H_Dublin25_OVERALL,"Dublin, Ireland",Europe,W,99,"Miles, Katie",GBR,30-34,01:14:21,4461
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,1,"Bernier, Alexis",FRA,35-39,00:55:21,3321
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,10,"Beattie, Steven",GBR,30-34,00:57:02,3422
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,100,"Prior, Josh",GBR,25-29,01:01:29,3689
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,11,"Allon-Smith, Ben",GBR,30-34,00:57:02,3422
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,12,"Magner, Gavin",GBR,30-34,00:57:29,3449
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,13,"Carmody, Mike",IRL,35-39,00:57:30,3450
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,14,"Hogarth, Gavin",GBR,40-44,00:57:46,3466
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,15,"Roberts, Toby",GBR,30-34,00:57:46,3466
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,16,"Taylor, Samuel",GBR,16-24,00:57:53,3473
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,17,"Gibson, Ryan",GBR,30-34,00:57:55,3475
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,18,"Dooley, Paul",IRL,35-39,00:57:56,3476
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,19,"Mullins, Perry",GBR,30-34,00:58:17,3497
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,2,"Overton, Callum",GBR,25-29,00:55:50,3350
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,20,"Agnew, Matt",GBR,30-34,00:58:25,3505
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,21,"Brock, George",GBR,16-24,00:58:26,3506
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,22,"Neville, Alex",GBR,25-29,00:58:26,3506
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,23,"Bassett, Aaron",IRL,30-34,00:58:29,3509
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,24,"Day, Simon",GBR,40-44,00:58:31,3511
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,25,"Askin, Bailey",GBR,16-24,00:58:38,3518
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,26,"Short, Callum",GBR,30-34,00:58:39,3519
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,27,"Baddeley, Mark",GBR,30-34,00:58:40,3520
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,28,"Gardiner, Craig",GBR,25-29,00:58:40,3520
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,29,"Higgs, Kieran",GBR,25-29,00:58:40,3520
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,3,"Vatcher, Joe",GBR,16-24,00:56:14,3374
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,30,"Georgiev, Nikolay",BUL,30-34,00:58:44,3524
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,31,"Mccauley, Kyle",GBR,25-29,00:58:45,3525
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,32,"Riedel, Jakub",POL,16-24,00:58:46,3526
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,33,"Brown, Patrick",GBR,45-49,00:58:47,3527
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,34,"Magida, David",USA,35-39,00:58:50,3530
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,35,"Di Tavi, Gaetano",ITA,30-34,00:58:51,3531
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,36,"Chamayou Brien, Romain",FRA,25-29,00:58:52,3532
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,37,"Davies, Gareth",GBR,35-39,00:58:57,3537
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,38,"Claeys, Zaquery",GBR,25-29,00:58:57,3537
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,39,"Daly, Mick",IRL,35-39,00:58:57,3537
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,4,"Woodman, Aaron",GBR,40-44,00:56:25,3385
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,40,"Clayton, Lee",GBR,35-39,00:59:06,3546
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,41,"Hilley, Alan",GBR,35-39,00:59:09,3549
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,42,"Hale, Adam",GBR,35-39,00:59:09,3549
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,43,"Strong, Ben",GBR,35-39,00:59:10,3550
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,44,"Maybin, Brian",IRL,40-44,00:59:11,3551
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,45,"Hesselberth, Paul",NED,25-29,00:59:13,3553
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,46,"Hage, Tom",GBR,25-29,00:59:14,3554
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,47,"Bauer, Nicholas",GER,25-29,00:59:14,3554
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,48,"Morris, Charlie",GBR,25-29,00:59:20,3560
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,49,"Chowns Higgs, Nathan",GBR,16-24,00:59:21,3561
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,5,"Kara, Rayane",FRA,16-24,00:56:29,3389
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,50,"Henry, Conor",GBR,30-34,00:59:21,3561
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,51,"Barnard, Joshua",GBR,30-34,00:59:23,3563
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,52,"Cook, Glen",GBR,30-34,00:59:29,3569
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,53,"Bourne, Andrew",GBR,30-34,00:59:35,3575
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,54,"Beadle, Steven",GBR,35-39,00:59:35,3575
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,55,"Brown, Dominic",GBR,30-34,00:59:39,3579
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,56,"Pociask, Arek",POL,16-24,00:59:42,3582
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,57,"Lloyd, Kieren",GBR,30-34,00:59:43,3583
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,58,"Holberry, Jay",GBR,40-44,00:59:47,3587
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,59,"Cresswell, Lewis",GBR,25-29,00:59:47,3587
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,6,"Mc Ginley, Reece",IRL,25-29,00:56:32,3392
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,60,"West, Sam",GBR,35-39,00:59:47,3587
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,61,"Irving, Iain",GBR,40-44,00:59:52,3592
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,62,"Woodland, Harry",GBR,16-24,00:59:55,3595
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,63,"Farrell, Connor",GBR,30-34,00:59:57,3597
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,64,"Barber, Tom",GBR,30-34,00:59:58,3598
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,65,"Duncan, Harry",GBR,16-24,00:59:58,3598
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,66,"Cabey, Sean",GBR,30-34,01:00:00,3600
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,67,"Thorley, Adam",GBR,30-34,01:00:00,3600
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,68,"Aleksandrovics, Nikita",IRL,16-24,01:00:01,3601
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,69,"Sankey, Joe",GBR,35-39,01:00:05,3605
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,7,"Parkin, David",GBR,35-39,00:56:52,3412
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,70,"Marsland, Jamie",GBR,35-39,01:00:09,3609
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,71,"Shaw, Chris",SCO,35-39,01:00:11,3611
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,72,"Crisp, Ryan",GBR,30-34,01:00:12,3612
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,73,"Rogers, Aaron",GBR,30-34,01:00:27,3627
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,74,"Eccleshare, Matthew",GBR,30-34,01:00:29,3629
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,75,"Lewis, Joshua",GBR,16-24,01:00:30,3630
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,76,"Gibson, Alex",GBR,30-34,01:00:33,3633
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,77,"Brammeier, Matt",GBR,40-44,01:00:36,3636
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,78,"Robinson, Lee",GBR,30-34,01:00:38,3638
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,79,"Fisher, Joe",GBR,40-44,01:00:39,3639
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,8,"Bloomfield, Marc",GBR,35-39,00:56:55,3415
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,80,"Hill, Carl",GBR,30-34,01:00:40,3640
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,81,"Nadi, Rachid",GBR,35-39,01:00:41,3641
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,82,"Ayin, Alex",GBR,30-34,01:00:45,3645
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,83,"O'Halloran, Phil",GBR,40-44,01:00:45,3645
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,84,"Raffault, Adrien",FRA,35-39,01:00:46,3646
London Excel 2025,H_Excel25_OVERALL,"London, UK",Europe,M,85,"Hancock, Darren",GBR,40-44,01:00:47,3647
